cong,icpsr,statecode,state,party,name,ideo,role,x2,loglike,nvotes,classerrs,gmp,district
56,6616,72,OREGON,200,MOODY  M.A.,0.35,,-0.002,-16.10366,125,5,0.879,2
56,715,14,PENNSYL,200,BINGHAM,0.69,,0.362,-7.55685,75,3,0.904,1
56,36,14,PENNSYL,200,ADAMS,0.724,,-0.69,-8.55591,87,4,0.906,2
56,6120,14,PENNSYL,100,MCALEER,-0.185,,-0.982,-7.27655,63,1,0.891,3
56,10444,14,PENNSYL,200,YOUNG  J.R.,0.428,,-0.749,-6.74626,94,1,0.931,4
56,6692,14,PENNSYL,200,MORRELL,0.346,,-0.737,-3.66138,36,2,0.903,5
56,1352,14,PENNSYL,200,BUTLER,0.384,,-0.561,-10.86729,106,5,0.903,6
56,9803,14,PENNSYL,200,WANGER,0.555,,-0.545,-11.51381,81,3,0.867,7
56,416,14,PENNSYL,100,BARBER,-0.209,,-0.419,-27.65783,98,15,0.754,8
56,3777,14,PENNSYL,100,GREEN,-0.296,,-0.649,-22.95496,100,12,0.795,9
56,1089,14,PENNSYL,200,BROSIUS,0.429,,-0.25,-9.50662,107,4,0.915,10
56,1989,14,PENNSYL,200,CONNELL,0.454,,-0.482,-5.51977,72,2,0.926,11
56,2360,14,PENNSYL,100,DAVENPORT,-0.212,,-0.348,-20.66683,102,8,0.817,12
56,8156,14,PENNSYL,100,RYAN J  W.,-0.274,,-0.59,-20.39682,101,8,0.817,13
56,7066,14,PENNSYL,200,OLMSTED,0.428,,-0.262,-9.28364,102,5,0.913,14
56,10384,14,PENNSYL,200,WRIGHT,0.503,,-0.431,-13.10465,78,6,0.845,15
56,7146,14,PENNSYL,200,PACKER,0.311,,0.175,-19.15755,86,8,0.8,16
56,7508,14,PENNSYL,100,POLK,-0.191,,-0.404,-16.44922,67,8,0.782,17
56,5925,14,PENNSYL,200,MAHON,0.449,,-0.493,-10.5837,76,6,0.87,18
56,10466,14,PENNSYL,100,ZIEGLER,-0.196,,-0.069,-18.22511,86,6,0.809,19
56,9365,14,PENNSYL,200,THROPP,0.287,,0.103,-11.40938,87,7,0.877,20
56,4839,14,PENNSYL,200,JACK,0.231,,0.031,-31.72611,125,16,0.776,21
