Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1980D	1	1	57	1567	0	George Poulin	Vice-president Machinists Union	 		8/5/79	3	1	2	1	Kennedy	0	1	1	0.2	0.2	0	0.0	 	 			 	 	0	0	0.5	0.100																									
1980D	1	1	58	1881	0	Jack Otero  	Member Brotherhood of Railway and Airline Clerks	DC	Own	8/13/79	3	2	2	1	Carter	1	1	1	0.1	0.1	0	0.0	0	0	0	0	0	0.000	0	0	0.5	0.050																									
1980D	1	1	59	5049	0	Amalgamated Clothing and Textile Workers Union	Labor union		National	8/13/79	3	2	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	0	0.5	0.200																									
1980D	1	1	60	5187	0	Communications Workers of America 	Labor union		National	8/13/79	3	2	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	0	0.5	0.200	1.000	1.200	0.480	0.600	1	0.240																			
1980D	1	1	61	5780	0	Seafarer's Union	Labor union		National	8/13/79	3	2	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	0	0.5	0.200																									
1980D	1	1	62	997	0	David Steinberg	Comedian	IL	Midwest	8/25/79	3	2	2	1	Kennedy	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050	1.000	0.500	0.050	0.250	1	0.025																			
1980D	1	1	63	5690	0	Quincy Jones	"Musician, record producer"	CA	West	8/25/79	3	2	2	1	Kennedy	0	1	1	0.1	0.1	1	0.1	0	0	1	1	1	0.100	0	0	0.5	0.050	1.000	0.500	0.050	0.250	1	0.025																			
1980D	1	1	64	5386	0	Irving Azoff	Rock star manager	CA	West	8/25/79	3	2	2	1	Kennedy	0	1	1	0.1	0.1	1	0.1	0	0	1	1	1	0.100	0	0	0.5	0.050	1.000	0.500	0.050	0.250	1	0.025																			
1980D	1	1	65	1549	0	George Firestone	Secretary of State	FL	South	8/30/79	3	2	2	1	Carter	1	1	1	0.2	0.2	0	0.0	0	1	0	0	0.5	0.100	0	0	0.5	0.100																									
1980D	1	1	66	1225	0	Doyle Connor	State agriculture commissioner  	FL	South	8/30/79	3	2	2	1	Carter	1	1	1	0.2	0.2	0	0.0	0	1	0	0	0.5	0.100	0	0	0.5	0.100																									
